Unnamed: 0,label,texts
0,1,"Ah, so I have been told ;)"
1,0,just honest
2,0,i'm trying to get into med school
3,1,The rhythm of your heart is music to my ears.
4,0,"hi, not bad, how about yours?"
5,1,I’ll put you on my shoulders and be your stilts 👀
6,1,It’s laundry day for me tho lol
7,1,🍫🍫🍫
8,1,hey that's a cool doge 🐶
9,0,"nup, it's wordplay"
10,1,Halle how is your life going rn -10 to 10 hit me w it
11,1,"Save a horse, ride a cowboy (me)"
12,1,Cartoon Network? How so? Lol!
13,0,wax?
14,1,Ah my ideal first date would go something likeee
15,0,oh wow nice
16,0,path major
17,1,And feather-lick my asshole. I love that.
18,1,Ugh such a tease
19,0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
20,0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
21,1,Perfect imma have the best wedding dance
22,1,You caught my attention
23,0,where are you studying that?
24,1,do you feel like getting dinner tonight
25,0,Also I just saw your 5th photo for the first time and it made me laugh really hard
26,1, I'm cumming!
27,0,well it was only wednesday night
28,1,Me: Don’t worry you’ll like it
29,1, your passion for life is so infectious its so inspiring 
30,1,"Now, I need you to take your right hand and start playing with yourself."
31,0,I feel that I was making some cool shit at the beginning of the year
32,1,God is always watching
33,1,"I wish you were here to help me clean up, or distract me with a sweet kiss."
34,1,I want to make you scream while I suck on your breasts
35,0,"yeah, at melbourne"
36,1,"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)"
37,1,greetings 😸
38,1,You tell me!
39,1,🍦🍦🍦
40,0,Okay Frank is my #1 haha everything is the best
41,1,Ok
42,0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
43,0,As a beverage isnt coffee inherently inedible
44,1,Maybe a little longer
45,1,What does your neck taste like?
46,0,"haha, it's been good, heading to royal croquet later"
47,0,well he took a bad selfie that didn't get his ears in the shot...
48,1,😴 Was the last time with Shaosong
49,1,Shut up I’m tickling my ass with the fat head. heheh
50,0,"no, my mom is not a fan of the soviets, i'd love to go but $$$"
51,0,Good conversation
52,0,"""violent masturbator"" is probably not going to convince anyone to swipe right"
53,1,Well*
54,1,Haha just wait until I have you bent over and I reach around to rub your clit
55,1,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
56,0,No one has attempted to steal my spaghetti for fear of instant and fatal retribution
57,1,and slowly close in on your sexy clit
58,0,i don't think they allow that...are you going thru the black market? i hear hearts in demand
59,1,"Hmm I'm not sure, I guess you'll have to tell me"
60,0,welcome to NY
61,0,Not too bad. Whats your secret to staying above 0 in these trying times
62,0,Add me bb
63,0,all that sugar and taurine
64,1,"Lick your finger, how is it?"
65,1,are you interested in going out sometime
66,0,"Are you named after the water bottle brand, or is it named after you???"
67,1,lazaretto is a masterpiece
68,0,i'm 3rd year this year and sitting the gamsat again
69,1,Aw thank you ❤️❤️ I love your wings
70,0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
71,1,Perfect I can reach the high shelves and you can get the low ones
72,0,is that the lane off degraves?
73,1,If you ride my shoulders we can beat 7’ 😂
74,0,haha yep it's pretty good normally
75,1,I'd much rather spend my time getting dirty with you.
76,0,"yeah it was alright, had some strange conversations with these guys outside the window..."
77,1,I want to kiss you first and feel your tounge on mine.
78,1,OMG I can’t believe I’m doing this. It’s HUGE!
79,1,Wanna come over tonight?
80,1,I am serious about the fucking.
81,0,dude you have a picture of your face plastered on a cat's
82,1, I wish I could dance with you at the concert and feel the music together    
83,0,hiking? as in going off into the bush and wandering about
84,1,"I will figure out what makes you tick, don't worry."
85,0,what kind of dog?
86,0,Peach is 🔥 also u reminded me I was going to plan Soju pong
87,1,You like em?
88,1,It's a beautiful sight..
89,1,How will you know?
90,1,Brienna you made my heart skip a beat so u better pay my medical bills
91,1,Like damn u gifted
92,0,if you're in pain
93,0,📰<💻
94,1,your empathy is a rare gift its so comforting 
95,0,I’m marketing and information systems haha trying to balance a more social major with a more technical one. We’ll see what comes of it haha
96,0,trollzz
97,0,I have been told I would line parks and rec but am scared that the same thing is going to happen to me
98,1,You are funny. Keep going.
99,1,"Then come over and fuck me right now ""daddy"""
100,1, your charisma is intoxicating im under your spell 
101,0,We were right everytime 😤
102,0,Wbu?
103,0,"awwww, puppy raiser!"
104,1,"I push your tender meat out of my mouth, and lay down..."
105,1,I'd love to hold hands and stroll through the park with you.
106,1,🎸🎤
107,0,Need to see if ur on aux 👀
108,1,What do I have to put on my application for trivia partner
109,0,oh wow
